AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
GQ-B1-2,70:65:82:E1:02:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-3,70:65:82:E1:83:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-4,70:65:82:E1:80:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-5,70:65:82:E1:82:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-6,70:65:82:E1:87:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-7,70:65:82:E1:85:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-8,7C:DD:76:00:DC:25,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-9,70:65:82:E0:AC:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-10,70:65:82:E2:4C:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-11,70:65:82:E0:8D:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-12,70:65:82:E0:8E:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-13,70:65:82:E2:15:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-14,70:65:82:E1:10:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-15,70:65:82:E1:92:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-16,70:65:82:E2:37:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-17,70:65:82:E2:5B:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-18,70:65:82:E1:7C:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-19,70:65:82:E1:FE:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-20,70:65:82:E0:B9:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-21,70:65:82:E0:A1:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-22,70:65:82:E0:B5:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-23,70:65:82:E1:2F:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-24,70:65:82:E2:6E:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-25,70:65:82:E0:B8:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-26,70:65:82:E0:B4:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-27,70:65:82:E0:9C:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-28,70:65:82:E0:85:D0,0,0,WiFi,,系统默认,-55,-50,-55
GQ-B1-34,70:65:82:E1:D1:D0,0,0,WiFi,,系统默认,-55,-50,-55
