AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
SP-B1-10,70:65:82:FD:BC:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-45,70:65:82:FD:9F:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-43,70:65:82:FD:BD:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-44,70:65:82:FD:E3:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-TZ-05-B1,70:65:82:E2:3B:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-TZ-04-B1,70:65:82:E1:9A:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-50,70:65:82:E1:ED:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-74,70:65:82:FD:17:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-72,70:65:82:FE:DD:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-41,70:65:82:FD:82:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-40,70:65:82:FD:FF:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-39,70:65:82:FE:03:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-57,70:65:82:E1:E7:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-55,70:65:82:E1:EB:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-4,70:65:82:E1:E6:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-37,70:65:82:FE:04:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-36,70:65:82:E1:97:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-63,70:65:82:E1:73:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-38,70:65:82:E2:3D:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-62,70:65:82:E1:E9:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-58,70:65:82:E1:AC:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-60,70:65:82:E1:9E:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-46,70:65:82:FE:0A:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-47,70:65:82:E1:DE:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-46,70:65:82:E1:DF:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-53,70:65:82:E1:EC:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-49,7C:DD:76:00:DC:2D,0,0,WiFi,,系统默认,-55,-50,-55
SP-B1-42,70:65:82:FD:80:D0,0,0,WiFi,,系统默认,-55,-50,-55
