AP名称,Mac地址,X坐标,Y坐标,AP类型,AP型号,阀值类型,STA RSSI阀值,标签RSSI阀值,POI参考RSSI阀值
SP-3F-16,70:65:82:E1:E5:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-13,70:65:82:FD:B1:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-15,70:65:82:FD:FE:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-1,70:65:82:E1:BE:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-23,70:65:82:E2:11:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-22,70:65:82:E2:53:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-21,70:65:82:E2:5E:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-20,70:65:82:E1:EA:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-19,70:65:82:E2:67:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-11,70:65:82:E1:95:D2,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-18,70:65:82:E2:20:D3,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-30,70:65:82:E2:05:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-31,70:65:82:E1:BC:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-9,70:65:82:E2:20:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-10,70:65:82:E0:7E:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-27,70:65:82:E1:3C:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-26,70:65:82:E1:60:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-3,70:65:82:E1:20:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-2,70:65:82:E1:31:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-25,70:65:82:E1:3D:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-4,70:65:82:E1:53:D0,0,0,WiFi,,系统默认,-55,-50,-55
SP-3F-5,70:65:82:E1:B0:D0,0,0,WiFi,,系统默认,-55,-50,-55
